Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
CHB,NA,NA18564,NA18564,0,1320,#66ffab,8,0.8
CHB,NA,NA18566,NA18566,0,1330,#66ffae,5,0.8
CHB,NA,NA18570,NA18570,0,1340,#66ffb1,S,0.8
CHB,NA,NA18571,NA18571,0,1350,#66ffb4,N,0.8
CHB,NA,NA18572,NA18572,0,1360,#66ffb7,L,0.8
CHB,NA,NA18573,NA18573,0,1370,#66ffba,j,0.8
CHB,NA,NA18576,NA18576,0,1380,#66ffbd,F,0.8
CHB,NA,NA18577,NA18577,0,1390,#66ffc0,1,0.8
CHB,NA,NA18579,NA18579,0,1400,#66ffc4,N,0.8
CHB,NA,NA18582,NA18582,0,1410,#66ffc7,m,0.8
CHB,NA,NA18592,NA18592,0,1420,#66ffca,T,0.8
CHB,NA,NA18593,NA18593,0,1430,#66ffcd,5,0.8
CHB,NA,NA18594,NA18594,0,1440,#66ffd0,m,0.8
CHB,NA,NA18603,NA18603,0,1450,#66ffd3,x,0.8
CHB,NA,NA18605,NA18605,0,1460,#66ffd6,2,0.8
CHB,NA,NA18608,NA18608,0,1470,#66ffd9,r,0.8
CHB,NA,NA18609,NA18609,0,1480,#66ffdc,o,0.8
CHB,NA,NA18611,NA18611,0,1490,#66ffdf,l,0.8
CHB,NA,NA18612,NA18612,0,1500,#66ffe3,h,0.8
CHB,NA,NA18620,NA18620,0,1510,#66ffe6,a,0.8
CHB,NA,NA18621,NA18621,0,1520,#66ffe9,L,0.8
CHB,NA,NA18622,NA18622,0,1530,#66ffec,7,0.8
CHB,NA,NA18623,NA18623,0,1540,#66ffef,z,0.8
CHB,NA,NA18624,NA18624,0,1550,#66fff2,w,0.8
CHB,NA,NA18632,NA18632,0,1560,#66fff5,k,0.8
CHB,NA,NA18633,NA18633,0,1570,#66fff8,d,0.8
CHB,NA,NA18635,NA18635,0,1580,#66fffb,J,0.8
CHB,NA,NA18636,NA18636,0,1590,#66ffff,L,0.8
CHB,NA,NA18637,NA18637,0,1600,#66fbff,t,0.8
YRI,NA,NA18502,NA18502,0,1610,#66f8ff,v,0.8
YRI,NA,NA18501,NA18501,0,1620,#66f5ff,k,0.8
YRI,NA,NA18505,NA18505,0,1630,#66f2ff,F,0.8
YRI,NA,NA18504,NA18504,0,1640,#66efff,Q,0.8
YRI,NA,NA18508,NA18508,0,1650,#66ecff,w,0.8
YRI,NA,NA18507,NA18507,0,1660,#66e9ff,l,0.8
YRI,NA,NA18858,NA18858,0,1670,#66e6ff,N,0.8
YRI,NA,NA18859,NA18859,0,1680,#66e3ff,6,0.8
YRI,NA,NA18517,NA18517,0,1690,#66dfff,S,0.8
YRI,NA,NA18516,NA18516,0,1700,#66dcff,z,0.8
YRI,NA,NA18523,NA18523,0,1710,#66d9ff,H,0.8
YRI,NA,NA18522,NA18522,0,1720,#66d6ff,E,0.8
YRI,NA,NA18870,NA18870,0,1730,#66d3ff,6,0.8
YRI,NA,NA18871,NA18871,0,1740,#66d0ff,4,0.8
YRI,NA,NA18852,NA18852,0,1750,#66cdff,8,0.8
YRI,NA,NA18853,NA18853,0,1760,#66caff,d,0.8
YRI,NA,NA18855,NA18855,0,1770,#66c7ff,A,0.8
YRI,NA,NA18856,NA18856,0,1780,#66c4ff,I,0.8
YRI,NA,NA18861,NA18861,0,1790,#66c0ff,8,0.8
YRI,NA,NA18862,NA18862,0,1800,#66bdff,H,0.8
YRI,NA,NA18912,NA18912,0,1810,#66baff,c,0.8
YRI,NA,NA18913,NA18913,0,1820,#66b7ff,D,0.8
YRI,NA,NA19093,NA19093,0,1830,#66b4ff,D,0.8
YRI,NA,NA19092,NA19092,0,1840,#66b1ff,J,0.8
YRI,NA,NA19102,NA19102,0,1850,#66aeff,H,0.8
YRI,NA,NA19101,NA19101,0,1860,#66abff,A,0.8
YRI,NA,NA19137,NA19137,0,1870,#66a8ff,G,0.8
YRI,NA,NA19138,NA19138,0,1880,#66a5ff,a,0.8
YRI,NA,NA19201,NA19201,0,1890,#66a1ff,d,0.8
YRI,NA,NA19200,NA19200,0,1900,#669eff,q,0.8
YRI,NA,NA19172,NA19172,0,1910,#669bff,2,0.8
YRI,NA,NA19171,NA19171,0,1920,#6698ff,k,0.8
YRI,NA,NA19204,NA19204,0,1930,#6695ff,F,0.8
YRI,NA,NA19203,NA19203,0,1940,#6692ff,k,0.8
YRI,NA,NA19209,NA19209,0,1950,#668fff,i,0.8
YRI,NA,NA19210,NA19210,0,1960,#668cff,a,0.8
YRI,NA,NA19206,NA19206,0,1970,#6689ff,v,0.8
YRI,NA,NA19207,NA19207,0,1980,#6686ff,9,0.8
YRI,NA,NA19159,NA19159,0,1990,#6682ff,d,0.8
YRI,NA,NA19160,NA19160,0,2000,#667fff,q,0.8
YRI,NA,NA19222,NA19222,0,2010,#667cff,S,0.8
YRI,NA,NA19223,NA19223,0,2020,#6679ff,d,0.8
YRI,NA,NA19116,NA19116,0,2030,#6676ff,U,0.8
YRI,NA,NA19119,NA19119,0,2040,#6673ff,d,0.8
YRI,NA,NA19140,NA19140,0,2050,#6670ff,H,0.8
YRI,NA,NA19141,NA19141,0,2060,#666dff,6,0.8
YRI,NA,NA19152,NA19152,0,2070,#666aff,n,0.8
YRI,NA,NA19153,NA19153,0,2080,#6667ff,X,0.8
YRI,NA,NA19143,NA19143,0,2090,#6866ff,8,0.8
YRI,NA,NA19144,NA19144,0,2100,#6b66ff,E,0.8
YRI,NA,NA19127,NA19127,0,2110,#6e66ff,i,0.8
YRI,NA,NA19128,NA19128,0,2120,#7166ff,F,0.8
YRI,NA,NA19131,NA19131,0,2130,#7466ff,M,0.8
YRI,NA,NA19130,NA19130,0,2140,#7766ff,p,0.8
YRI,NA,NA19099,NA19099,0,2150,#7a66ff,Q,0.8
YRI,NA,NA19098,NA19098,0,2160,#7d66ff,A,0.8
YRI,NA,NA19193,NA19193,0,2170,#8066ff,X,0.8
YRI,NA,NA19192,NA19192,0,2180,#8366ff,n,0.8
YRI,NA,NA19238,NA19238,0,2190,#8766ff,H,0.8
YRI,NA,NA19239,NA19239,0,2200,#8a66ff,0,0.8
CEU,NA,NA12003,NA12003,0,2210,#8d66ff,C,0.8
CEU,NA,NA12004,NA12004,0,2220,#9066ff,B,0.8
CEU,NA,NA12005,NA12005,0,2230,#9366ff,n,0.8
CEU,NA,NA12006,NA12006,0,2240,#9666ff,Z,0.8
CEU,NA,NA12056,NA12056,0,2250,#9966ff,I,0.8
